1,2,3,4,5,6,7,8,9,10,11,12,class
6.09E+16,5.86E+16,2.00E+17,4.16E+17,6.00E+16,6.62E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.86E+16,2.01E+17,4.16E+17,6.00E+16,6.64E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.02E+16,water
6.11E+16,5.88E+16,2.01E+17,4.15E+17,5.99E+16,6.66E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.03E+16,water
6.11E+16,5.87E+16,2.00E+17,4.16E+17,6.00E+16,6.67E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.04E+16,water
6.10E+16,5.87E+16,2.00E+17,4.15E+17,6.00E+16,6.63E+16,6.87E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.00E+16,water
6.11E+16,5.87E+16,2.00E+17,4.16E+17,5.99E+16,6.60E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.06E+16,water
6.11E+16,5.88E+16,2.01E+17,4.15E+17,6.00E+16,6.59E+16,6.87E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.06E+16,water
6.11E+16,5.88E+16,2.00E+17,4.15E+17,6.00E+16,6.65E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.87E+16,2.01E+17,4.16E+17,5.99E+16,6.63E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.02E+16,water
6.10E+16,5.88E+16,2.01E+17,4.15E+17,5.99E+16,6.67E+16,6.87E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.04E+16,water
6.11E+16,5.88E+16,2.00E+17,4.16E+17,6.00E+16,6.62E+16,6.88E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.06E+16,water
6.09E+16,5.86E+16,2.00E+17,4.16E+17,6.00E+16,6.61E+16,6.87E+16,5.09E+16,2.00E+17,1.51E+17,2.01E+17,6.05E+16,water
6.11E+16,5.86E+16,2.01E+17,4.16E+17,6.00E+16,6.59E+16,6.89E+16,5.10E+16,2.00E+17,1.51E+17,2.01E+17,6.05E+16,water
6.10E+16,5.87E+16,2.01E+17,4.16E+17,6.00E+16,6.69E+16,6.90E+16,5.10E+16,2.00E+17,1.51E+17,2.01E+17,6.07E+16,water
6.10E+16,5.87E+16,2.00E+17,4.16E+17,6.00E+16,6.67E+16,6.89E+16,5.10E+16,2.00E+17,1.51E+17,2.01E+17,6.03E+16,water
6.10E+16,5.87E+16,2.01E+17,4.16E+17,6.00E+16,6.63E+16,6.89E+16,5.10E+16,2.00E+17,1.51E+17,2.01E+17,6.06E+16,water
6.12E+16,5.85E+16,2.00E+17,4.16E+17,6.00E+16,6.60E+16,6.88E+16,5.10E+16,2.00E+17,1.51E+17,2.01E+17,6.03E+16,water
