sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
32,55,46,52,77,11,73,8
59,29,48,3,78,74,0,0
23,2,4,53,55,5,16,51
72,90,14,74,26,31,54,15
76,89,30,82,37,53,82,55
36,9,76,1,2,84,44,27
19,97,43,35,47,73,7,76
8,87,45,46,28,38,60,53
50,11,26,44,65,95,26,30
77,43,16,72,91,25,99,21
98,11,30,2,16,61,71,30
28,22,52,95,74,6,34,58
89,65,98,73,48,48,10,60
39,23,17,57,51,88,28,87
4,73,7,93,23,64,16,8
31,79,15,43,18,22,18,44
44,59,23,88,76,33,3,22
43,69,47,59,2,77,83,41
32,9,59,6,61,7,27,91
85,27,59,67,10,1,43,81
98,22,99,13,56,42,10,62
74,54,87,63,96,28,44,81
3,39,10,96,90,61,42,67
2,26,53,69,65,86,33,96
64,75,29,29,14,93,7,69
46,47,9,27,37,62,80,64
26,57,95,10,40,35,2,53
87,5,73,43,49,95,30,79
35,66,13,27,96,9,58,26
81,35,54,81,49,77,44,75
61,86,3,57,72,30,82,83
56,2,81,5,72,30,24,54
71,47,11,67,87,4,81,53
88,40,51,78,6,51,3,17
71,99,32,93,3,30,51,50
98,37,51,0,97,81,8,30
83,68,2,0,2,92,69,50
68,56,89,8,70,75,44,79
25,28,72,33,71,18,2,2
73,78,51,61,88,36,49,59
56,53,71,53,85,50,4,48
88,78,50,93,21,76,12,93
86,88,37,92,89,43,32,66
65,16,51,30,59,56,14,8
23,38,30,24,96,1,86,10
72,54,40,12,83,66,69,36
60,12,80,97,99,79,65,35
37,68,94,60,87,34,71,3
39,27,10,68,42,94,62,88
79,38,27,65,57,95,51,56
21,41,94,14,17,38,23,18
87,98,9,77,5,24,18,89
38,17,30,55,0,3,18,22
37,80,70,52,99,87,86,22
59,97,0,66,55,57,79,65
87,82,69,71,53,97,53,14
7,86,16,17,1,76,46,76
33,32,36,87,32,31,80,99
99,98,68,86,53,9,73,36
48,9,57,14,56,57,27,86
68,66,53,19,67,85,23,77
64,62,0,5,49,37,63,64
56,22,54,75,46,3,64,36
58,35,57,41,20,20,63,73
62,60,86,75,57,43,63,65
17,50,10,21,5,44,26,74
34,8,85,59,42,48,85,99
23,55,70,49,13,19,21,99
47,73,36,62,57,82,39,76
81,58,72,79,11,98,44,71
84,59,41,13,90,72,25,40
57,38,5,87,34,91,75,84
51,60,19,40,9,99,58,87
12,63,27,38,52,1,4,93
79,24,15,53,2,88,43,47
76,98,63,70,42,53,50,0
30,25,9,5,48,11,34,11
68,58,27,85,8,98,54,51
57,61,23,56,12,83,18,8
24,50,57,2,62,16,59,86
18,31,51,10,83,70,39,34
72,82,38,12,41,61,31,42
17,2,15,68,19,33,5,14
28,61,9,52,77,17,27,57
17,11,91,65,7,79,54,79
68,30,36,50,84,33,90,55
54,29,72,40,37,25,30,65
31,54,81,36,94,25,96,29
38,63,88,76,23,48,33,76
81,71,39,82,56,39,81,74
68,0,52,11,86,96,44,33
33,93,62,30,10,35,75,44
16,29,43,18,38,34,14,66
46,96,29,60,86,74,23,89
17,13,32,48,67,54,70,68
24,0,52,63,30,44,85,6
87,91,94,12,41,84,8,14
78,57,86,31,20,0,32,75
21,69,59,34,21,14,80,34
35,32,59,82,65,0,14,55
19,14,1,78,71,12,41,62
20,95,49,37,48,6,32,61
24,17,61,39,10,72,64,60
75,39,15,17,25,73,98,25
80,23,80,57,5,75,67,28
66,74,57,88,31,30,90,91
84,42,1,44,99,86,49,33
0,64,69,66,5,12,3,73
51,81,29,84,81,30,48,32
55,83,87,4,77,39,74,83
79,62,34,14,69,32,23,21
86,84,95,66,85,0,96,11
64,29,91,53,37,69,11,45
28,89,0,91,53,75,66,57
33,37,6,96,40,40,66,5
2,14,55,96,93,62,0,26
95,47,25,38,35,27,93,48
85,3,29,84,50,21,72,88
93,6,9,70,62,15,29,56
1,22,26,56,20,44,79,83
78,37,63,94,77,10,75,80
57,28,80,49,21,85,99,65
87,84,39,96,3,41,20,84
77,38,80,98,45,38,4,57
4,66,50,54,75,5,0,91
65,69,73,69,37,20,92,73
34,34,42,29,31,88,93,7
34,31,24,52,41,67,25,3
49,82,11,57,90,66,11,26
98,43,88,58,52,40,81,23
16,53,16,83,42,86,78,40
18,83,38,27,16,7,73,49
18,58,82,29,35,49,78,63
15,33,19,71,59,83,28,99
22,68,98,16,13,36,93,11
15,62,17,56,92,89,62,15
53,25,33,58,35,23,30,90
32,33,83,80,4,47,15,37
90,67,25,43,18,68,61,51
78,97,75,43,43,76,49,27
34,39,97,70,31,93,6,32
75,4,20,85,96,31,0,1
39,14,94,70,55,20,35,21
63,25,33,47,80,30,32,82
83,92,94,50,6,50,4,76
23,31,5,13,49,34,99,63
13,12,63,74,5,5,0,67
88,92,3,24,64,77,57,70
14,44,40,8,35,2,85,48
15,39,66,21,36,64,47,35
76,19,12,34,1,8,83,78
74,23,9,32,89,30,17,71
85,19,34,7,51,84,74,83
78,34,31,61,15,20,61,26
87,80,60,72,13,30,85,41
22,33,58,79,68,38,93,4
39,80,62,23,17,16,14,68
34,29,98,98,11,22,50,61
88,90,61,54,43,50,72,86
71,2,97,87,59,8,33,38
96,62,71,65,6,30,65,68
42,18,8,31,83,93,16,48
29,38,27,37,26,39,34,74
33,95,58,1,21,55,6,77
58,33,98,32,71,94,25,77
79,69,16,44,23,43,12,66
55,2,63,45,36,23,84,93
11,44,92,94,79,93,5,76
17,65,15,88,72,54,83,93
75,8,16,60,55,88,75,52
67,36,69,32,27,77,74,86
51,28,5,86,47,90,2,66
58,79,79,7,43,6,66,89
46,63,40,85,42,82,56,83
96,71,5,6,88,86,16,12
50,10,68,40,80,88,32,42
78,35,42,19,91,4,24,58
48,3,64,44,6,87,22,39
2,26,94,82,72,98,18,83
75,98,96,21,37,52,22,97
57,53,54,70,36,68,1,98
81,95,46,80,48,15,50,99
69,2,75,98,39,30,13,11
50,1,42,42,70,31,65,38
56,81,40,95,37,94,63,16
16,19,57,22,67,92,95,25
49,74,11,5,41,15,7,17
86,12,98,69,41,76,32,71
24,96,5,1,44,71,25,13
97,5,39,64,88,37,30,75
63,9,53,65,97,33,87,58
52,40,72,70,33,12,55,36
10,52,1,83,96,37,49,38
37,4,70,79,76,10,65,7
22,53,88,52,66,40,1,0
89,34,4,65,86,13,0,11
18,29,93,17,77,54,56,52
93,47,51,39,47,79,48,38
81,0,47,89,42,48,31,36
72,70,63,92,50,40,22,3
17,44,63,16,79,64,29,20
63,46,64,46,58,80,53,80
57,35,95,0,75,46,16,81
5,36,39,47,1,63,35,72
15,11,4,40,37,22,6,81
18,29,8,69,14,70,8,44
89,2,63,64,76,96,16,81
88,38,48,38,77,63,91,65
72,77,42,61,0,53,92,13
43,16,97,12,14,40,26,17
53,19,27,28,52,83,46,11
29,89,27,54,20,68,6,43
76,90,90,96,5,83,83,29
58,55,51,61,23,47,14,26
37,5,64,40,52,57,33,31
38,69,53,6,79,82,33,54
5,15,37,1,33,48,75,65
49,19,23,26,61,97,92,42
66,85,91,72,20,63,14,18
61,6,83,44,5,76,73,95
40,67,43,57,5,94,21,9
39,76,40,34,88,10,30,54
32,56,24,57,56,43,42,36
90,39,22,26,16,40,98,54
12,30,97,6,45,91,68,52
84,53,22,13,58,28,71,92
44,37,11,30,14,0,48,21
48,1,19,67,10,10,64,16
83,88,46,51,51,44,6,20
53,45,74,33,25,18,58,13
30,32,67,48,95,77,84,52
72,6,12,54,57,57,97,56
11,95,41,86,10,23,42,2
81,35,12,80,47,13,85,98
46,24,63,12,21,74,20,24
34,15,80,23,71,33,57,86
21,27,51,89,88,51,27,23
70,71,66,40,77,72,27,84
56,45,58,56,59,13,22,77
34,13,18,43,41,66,50,24
94,14,57,51,78,87,37,84
50,55,48,7,22,27,21,5
85,87,22,22,41,84,9,46
68,36,95,35,72,18,52,50
9,99,15,12,90,36,77,56
19,98,16,1,10,89,11,10
57,32,85,75,3,55,45,5
15,86,6,66,86,15,41,91
12,54,15,91,79,8,58,32
17,96,26,68,62,79,46,44
63,98,84,72,86,89,74,26
49,18,20,5,92,73,18,99
27,92,54,90,97,20,86,78
50,56,26,51,7,76,82,4
60,15,6,8,65,52,4,82
20,75,44,10,30,82,9,90
28,37,21,19,83,7,63,63
